LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE
Chloride,Chloride,,verify,,788,Chloride (100-112),,chartevents,194344,Chemistry,,,,carevue,,,
Chloride,Chloride,,verify,,1523,Chloride,,chartevents,151836,Chemistry,,,,carevue,,,
Chloride,Chloride,,verify,,3747,Chloride  (100-112),,chartevents,15738,Chemistry,,,,carevue,,,
Chloride,Chloride,,verify,,4193,ABG Chloride,,chartevents,57,ABG's,,,,carevue,,,
Chloride,Chloride (ascites),,verify,,50839,"CHLORIDE, ASCITES",,labevents,45,CHEMISTRY,,ASCITES,33366-6,,,,
Chloride,Chloride (body fluid),,verify,,51030,"CHLORIDE, BODY FLUID",,labevents,65,CHEMISTRY,,OTHER BODY FLUID,7/1/2072,,,,
Chloride,Chloride (CSF),,verify,,51013,"CHLORIDE, CSF",,labevents,0,CHEMISTRY,,CEREBROSPINAL FLUID (CSF),,,,,
Chloride,Chloride (pleural),,verify,,51050,"CHLORIDE, PLEURAL",,labevents,11,CHEMISTRY,,PLEURAL,53627-6,,,,
Chloride,Chloride (serum),,verify,,220602,Chloride (serum),None,chartevents,160843,Labs,,,,metavision,,Numeric,
Chloride,Chloride (stool),,verify,,51062,"CHLORIDE, STOOL",,labevents,61,CHEMISTRY,,STOOL,15158-9,,,,
Chloride,Chloride (urine),,verify,,51078,"CHLORIDE, URINE",,labevents,9607,CHEMISTRY,,URINE,4/1/2078,,,,
Chloride,Chloride (whole blood),,verify,,50806,"CHLORIDE, WHOLE BLOOD",,labevents,48187,BLOOD GAS,,BLOOD,3/1/2069,,,,
Chloride,Chloride (whole blood),,verify,,226536,Chloride (whole blood),None,chartevents,12020,Labs,,,,metavision,,Numeric,
Cholesterol,Cholesterol,,verify,,789,Cholesterol (<200),,chartevents,2410,Chemistry,,,,carevue,,,
Cholesterol,Cholesterol,,verify,,1524,Cholesterol,,chartevents,1812,Chemistry,,,,carevue,,,
Cholesterol,Cholesterol,,verify,,220603,Cholesterol,None,chartevents,1567,Labs,,,,metavision,,Numeric,
Cholesterol,Cholesterol,,verify,,3748,Cholesterol (0-199),,chartevents,6,Chemistry,,,,carevue,,,
Cholesterol,Cholesterol (ascites),,verify,,50840,"CHOLESTEROL, ASCITES",,labevents,7,CHEMISTRY,,ASCITES,14441-0,,,,
Cholesterol,Cholesterol (body fluid),,verify,,51031,"CHOLESTEROL, BODY FLUID",,labevents,9,CHEMISTRY,,OTHER BODY FLUID,12183-0,,,,
Cholesterol,Cholesterol (HDL),HDL Cholesterol,verify,,50904,"CHOLESTEROL, HDL",,labevents,18260,CHEMISTRY,,BLOOD,9/1/2085,,,,
Cholesterol,Cholesterol (LDL),LDL Cholesterol,verify,,50905,"CHOLESTEROL, LDL, CALCULATED",,labevents,16486,CHEMISTRY,,BLOOD,9/1/2090,,,,
Cholesterol,Cholesterol (LDL),LDL Cholesterol,verify,,50906,"CHOLESTEROL, LDL, MEASURED",,labevents,2001,CHEMISTRY,,BLOOD,18262-6,,,,
Cholesterol,Cholesterol (pleural),,verify,,51051,"CHOLESTEROL, PLEURAL",,labevents,330,CHEMISTRY,,PLEURAL,9618-0,,,,
Cholesterol,Cholesterol (total),,verify,,50907,"CHOLESTEROL, TOTAL",,labevents,19444,CHEMISTRY,,BLOOD,3/1/2093,,,,
Creatinine,Creatinine,,verify,,50912,CREATININE,,labevents,797476,CHEMISTRY,,BLOOD,2160-0,,,,
Creatinine,Creatinine,,verify,,791,Creatinine (0-1.3),,chartevents,196677,Chemistry,,,,carevue,,,
Creatinine,Creatinine,,verify,,1525,Creatinine,,chartevents,153297,Chemistry,,,,carevue,,,
Creatinine,Creatinine,,verify,,220615,Creatinine,None,chartevents,153010,Labs,,,,metavision,,Numeric,
Creatinine,Creatinine,,verify,,3750,Creatinine   (0-0.7),,chartevents,2103,Chemistry,,,,carevue,,,
Creatinine,Creatinine,,verify,,51067,24 HR CREATININE,,labevents,653,CHEMISTRY,,URINE,6/1/2162,,,,
Creatinine,Creatinine (ascites),,verify,,50841,"CREATININE, ASCITES",,labevents,520,CHEMISTRY,,ASCITES,12191-3,,,,
Creatinine,Creatinine (body fluid),,verify,,51032,"CREATININE, BODY FLUID",,labevents,320,CHEMISTRY,,OTHER BODY FLUID,12190-5,,,,
Creatinine,Creatinine (pleural),,verify,,51052,"CREATININE, PLEURAL",,labevents,293,CHEMISTRY,,PLEURAL,14399-0,,,,
Creatinine,Creatinine (serum),,verify,,51081,"CREATININE, SERUM",,labevents,150,CHEMISTRY,,URINE,,,,,
Creatinine,Creatinine (urine),,verify,,51082,"CREATININE, URINE",,labevents,33069,CHEMISTRY,,URINE,8/1/2161,,,,
Creatinine,Creatinine (urine),,verify,,51106,URINE CREATININE,,labevents,151,CHEMISTRY,,URINE,,,,,
Creatinine,Creatinine clearance,,verify,,51080,CREATININE CLEARANCE,,labevents,150,CHEMISTRY,,URINE,33558-8,,,,
Eosinophils,Eosinophils,,verify,,3754,Eosinophils,,chartevents,8364,Heme/Coag,,,,carevue,,,
Eosinophils,Eosinophils,,verify,,51474,EOSINOPHILS,,labevents,3365,HEMATOLOGY,,URINE,25156-1,,,,
Eosinophils,Eosinophils,,verify,,51444,EOSINOPHILS,,labevents,778,HEMATOLOGY,,PLEURAL,30379-2,,,,
Eosinophils,Eosinophils,,verify,,51347,EOSINOPHILS,,labevents,655,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),26451-5,,,,
Eosinophils,Eosinophils,,verify,,51419,EOSINOPHILS,,labevents,601,HEMATOLOGY,,OTHER BODY FLUID,26452-3,,,,
Eosinophils,Eosinophils,,verify,,51114,EOSINOPHILS,,labevents,566,HEMATOLOGY,,ASCITES,30380-0,,,,
Eosinophils,Eosinophils,,verify,,51368,EOSINOPHILS,,labevents,83,HEMATOLOGY,,JOINT FLUID,17834-3,,,,
Hematocrit,Hematocrit,HCT,verify,,51221,HEMATOCRIT,,labevents,881846,HEMATOLOGY,,BLOOD,3/1/4544,,,,
Hematocrit,Hematocrit,HCT,verify,,813,Hematocrit,,chartevents,275105,Hematology,,,,carevue,,,
Hematocrit,Hematocrit,HCT,verify,,50810,"HEMATOCRIT, CALCULATED",,labevents,89715,BLOOD GAS,,BLOOD,20570-8,,,,
Hematocrit,Hematocrit,HCT,verify,,3761,Hematocrit (35-51),,chartevents,12517,ABG'S,,,,carevue,,,
Hematocrit,Hematocrit (serum),HCT (serum),verify,,220545,Hematocrit (serum),None,chartevents,165862,Labs,,,,metavision,,Numeric,
Hemoglobin,Hemoglobin,,verify,,51222,HEMOGLOBIN,,labevents,752523,HEMATOLOGY,,BLOOD,718-7,,,,
Hemoglobin,Hemoglobin,,verify,,814,Hemoglobin,,chartevents,188568,Hematology,,,,carevue,,,
Hemoglobin,Hemoglobin,,verify,,220228,Hemoglobin,g/dl,chartevents,137117,Labs,,,,metavision,,Numeric,
Hemoglobin,Hemoglobin,,verify,,50811,HEMOGLOBIN,,labevents,89712,BLOOD GAS,,BLOOD,718-7,,,,
Hemoglobin,Hemoglobin,,verify,,50852,% HEMOGLOBIN A1C,,labevents,16618,CHEMISTRY,,BLOOD,4/1/4548,,,,
Hemoglobin,Hemoglobin,,verify,,50855,ABSOLUTE HEMOGLOBIN,,labevents,3791,CHEMISTRY,,BLOOD,718-7,,,,
Lactate,Lactate,,verify,,50813,LACTATE,,labevents,187124,BLOOD GAS,,BLOOD,32693-4,,,,
Lactate dehydrogenase,Lactate dehydrogenase,LDH,verify,,50954,LACTATE DEHYDROGENASE (LD),,labevents,107122,CHEMISTRY,,BLOOD,2532-0,,,,
Lactate dehydrogenase,Lactate dehydrogenase,LDH,verify,,51054,"LACTATE DEHYDROGENASE, PLEURAL",,labevents,2502,CHEMISTRY,,PLEURAL,4/1/2530,,,,
Lactic acid,Lactic acid,,verify,,818,Lactic Acid(0.5-2.0),,chartevents,73574,Chemistry,,,,carevue,,,
Lactic acid,Lactic acid,,verify,,225668,Lactic Acid,None,chartevents,69432,Labs,,,,metavision,,Numeric,
Lactic acid,Lactic acid,,verify,,1531,Lactic Acid,,chartevents,63478,Chemistry,,,,carevue,,,
Lymphocytes,Lymphocytes,,verify,,51244,LYMPHOCYTES,,labevents,172149,HEMATOLOGY,,BLOOD,731-0,,,,
Lymphocytes,Lymphocytes,,verify,,51116,LYMPHOCYTES,,labevents,3346,HEMATOLOGY,,ASCITES,26482-0,,,,
Lymphocytes,Lymphocytes,,verify,,51446,LYMPHOCYTES,,labevents,2613,HEMATOLOGY,,PLEURAL,26481-2,,,,
Lymphocytes,Lymphocytes,,verify,,51427,LYMPHOCYTES,,labevents,1969,HEMATOLOGY,,OTHER BODY FLUID,11031-2,,,,
Lymphocytes,Lymphocytes,,verify,,51375,LYMPHOCYTES,,labevents,683,HEMATOLOGY,,JOINT FLUID,26483-8,,,,
Lymphocytes,Lymphocytes (absolute),,verify,,51133,ABSOLUTE LYMPHOCYTE COUNT,,labevents,2377,HEMATOLOGY,,BLOOD,26474-7,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51143,ATYPICAL LYMPHOCYTES,,labevents,59335,HEMATOLOGY,,BLOOD,733-6,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51343,ATYPICAL LYMPHOCYTES,,labevents,310,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),30416-2,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51110,ATYPICAL LYMPHOCYTES,,labevents,160,HEMATOLOGY,,ASCITES,33369-0,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51440,ATYPICAL LYMPHOCYTES,,labevents,159,HEMATOLOGY,,PLEURAL,33370-8,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51385,ATYPICAL LYMPHOCYTES,,labevents,68,HEMATOLOGY,,OTHER BODY FLUID,30417-0,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51365,ATYPICAL LYMPHOCYTES,,labevents,17,HEMATOLOGY,,JOINT FLUID,33371-6,,,,
Lymphocytes,Lymphocytes (percent),,verify,,51245,"LYMPHOCYTES, PERCENT",,labevents,2378,HEMATOLOGY,,BLOOD,26478-8,,,,
Magnesium,Magnesium,Mg,verify,,50960,MAGNESIUM,,labevents,664191,CHEMISTRY,,BLOOD,3/1/2601,,,,
Magnesium,Magnesium,Mg,verify,,821,Magnesium (1.6-2.6),,chartevents,198212,Chemistry,,,,carevue,,,
Magnesium,Magnesium,Mg,verify,,1532,Magnesium,,chartevents,155337,Chemistry,,,,carevue,,,
Magnesium,Magnesium,Mg,verify,,220635,Magnesium,None,chartevents,147786,Labs,,,,metavision,,Numeric,
Mean corpuscular hemoglobin,Mean corpuscular hemoglobin,MCH,verify,,51248,MCH,,labevents,748073,HEMATOLOGY,,BLOOD,785-6,,,,
Mean corpuscular hemoglobin concentration,Mean corpuscular hemoglobin concentration,MCHC,verify,,51249,MCHC,,labevents,748226,HEMATOLOGY,,BLOOD,786-4,,,,
Mean corpuscular volume,Mean corpuscular volume,MCV,verify,,51250,MCV,,labevents,748056,HEMATOLOGY,,BLOOD,787-2,,,,
Monocytes,Monocytes,,verify,,51254,MONOCYTES,,labevents,172148,HEMATOLOGY,,BLOOD,742-7,,,,
Monocytes,Monocytes,,verify,,51355,MONOCYTES,,labevents,4701,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),26486-1,,,,
Neutrophils,Neutrophils,,verify,,51256,NEUTROPHILS,,labevents,172149,HEMATOLOGY,,BLOOD,761-7,,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PaCO2,verify,,50818,PCO2,,labevents,490638,BLOOD GAS,,BLOOD,11557-6,,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PaCO2,verify,,3835,pCO2,,chartevents,9486,ABG'S,,,,carevue,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PaCO2,verify,,3836,pCO2 (other),,chartevents,8445,Other ABGs,,,,carevue,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PaCO2,verify,,3784,PCO2,,chartevents,5314,ABG's,,,,carevue,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide (arterial),PaCO2 (arterial),verify,,778,Arterial PaCO2,,chartevents,283616,ABG,,,,carevue,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide (arterial),PaCO2 (arterial),verify,,220235,Arterial CO2 Pressure,mmHg,chartevents,140215,Labs,,,,metavision,,Numeric,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide (capillary),PaCO2 (capillary),verify,,4201,pCO2 (cap),,chartevents,8106,Other ABGs,,,,carevue,,,
Partial pressure of oxygen,Partial pressure of oxygen,PaO2,verify,,779,Arterial PaO2,,chartevents,283452,ABG,,,,carevue,,,
Partial pressure of oxygen,Partial pressure of oxygen,PaO2,verify,,490,PAO2,,chartevents,1467,,,,,carevue,,,
Partial thromboplastin time,Partial thromboplastin time,PTT,verify,,51275,PTT,,labevents,474937,HEMATOLOGY,,BLOOD,2/1/3173,,,,
Partial thromboplastin time,Partial thromboplastin time,PTT,verify,,825,PTT(22-35),,chartevents,146486,Coags,,,,carevue,,,
Partial thromboplastin time,Partial thromboplastin time,PTT,verify,,1533,PTT,,chartevents,115354,Coags,,,,carevue,,,
Partial thromboplastin time,Partial thromboplastin time,PTT,verify,,227466,PTT,None,chartevents,99769,Labs,,,,metavision,,Numeric with tag,
Peak inspiratory pressure,Peak inspiratory pressure,PIP,verify,,507,PIP,,chartevents,151276,,,,,carevue,,,
Phosphate,Phosphate,,verify,,50970,PHOSPHATE,,labevents,590568,CHEMISTRY,,BLOOD,1/1/2777,,,,
Platelets,Platelets,Platelet count,verify,,51265,PLATELET COUNT,,labevents,778444,HEMATOLOGY,,BLOOD,777-3,,,,
Platelets,Platelets,Platelet count,verify,,828,Platelets,,chartevents,189535,Hematology,,,,carevue,,,
Platelets,Platelets,Platelet count,verify,,227457,Platelet Count,None,chartevents,137454,Labs,,,,metavision,,Numeric with tag,
Platelets,Platelets,Platelet count,verify,,3789,Platelet  (150-440),,chartevents,10467,Heme/Coag,,,,carevue,,,
Positive end-expiratory pressure,Positive end-expiratory pressure,PEEP,verify,,505,PEEP,,chartevents,352331,,,,,carevue,,,
Positive end-expiratory pressure,Positive end-expiratory pressure,PEEP,verify,,50819,PEEP,,labevents,86921,BLOOD GAS,,BLOOD,20077-4,,,,
Positive end-expiratory pressure,Positive end-expiratory pressure (total),PEEP (total),verify,,224700,Total PEEP Level,cmH2O,chartevents,44275,Respiratory,,,,metavision,,Numeric,
Potassium,Potassium,K,verify,,50971,POTASSIUM,,labevents,845825,CHEMISTRY,,BLOOD,3/1/2823,,,,
Potassium,Potassium,K,verify,,829,Potassium (3.5-5.3),,chartevents,326961,Chemistry,,,,carevue,,,
Potassium,Potassium,K,verify,,1535,Potassium,,chartevents,247638,Chemistry,,,,carevue,,,
Potassium,Potassium,K,verify,,3792,Potassium  (3.5-5.3),,chartevents,15817,Chemistry,,,,carevue,,,
Potassium,Potassium (serum),K (serum),verify,,227442,Potassium (serum),None,chartevents,165813,Labs,,,,metavision,,Numeric with tag,
Potassium,Potassium (whole blood),K (whole blood),verify,,50822,"POTASSIUM, WHOLE BLOOD",,labevents,192946,BLOOD GAS,,BLOOD,4/1/6298,,,,
Potassium,Potassium (whole blood),K (whole blood),verify,,227464,Potassium (whole blood),None,chartevents,49112,Labs,,,,metavision,,Numeric with tag,
Prothrombin time,Prothrombin time,PT / INR,verify,,51237,INR(PT),,labevents,471183,HEMATOLOGY,,BLOOD,7/1/5895,,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,51274,PT,,labevents,469090,HEMATOLOGY,,BLOOD,2/1/5902,,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,815,INR (2-4 ref. range),,chartevents,135821,Coags,,,,carevue,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,824,PT(11-13.5),,chartevents,135452,Coags,,,,carevue,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,1530,INR,,chartevents,106808,Coags,,,,carevue,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,1286,PT,,chartevents,106567,,,,,carevue,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,227467,INR,None,chartevents,93040,Labs,,,,metavision,,Numeric with tag,
Prothrombin time,Prothrombin time,PT / INR,verify,,227465,Prothrombin time,None,chartevents,93030,Labs,,,,metavision,,Numeric with tag,
Pupillary response left,Pupillary response left,,verify,,8466,Pupil Response [Left],,chartevents,442215,,,,,carevue,,,
Pupillary response left,Pupillary response left,,verify,,3593,Pupil Reactivity [Left],,chartevents,135,,,,,carevue,,,
Pupillary response right,Pupillary response right,,verify,,584,Pupil Response [Right],,chartevents,449255,,,,,carevue,,,
Pupillary response right,Pupillary response right,,verify,,8530,Pupil Reactivity [Right],,chartevents,126,,,,,carevue,,,
Pupillary size left,Pupillary size left,,verify,,8467,Pupil Size [Left],,chartevents,447035,,,,,carevue,,,
Pupillary size right,Pupillary size right,,verify,,585,Pupil Size [Right],,chartevents,455089,,,,,carevue,,,
Red blood cell count,Red blood cell count,RBC,verify,,51279,RED BLOOD CELLS,,labevents,748078,HEMATOLOGY,,BLOOD,789-8,,,,
Red blood cell count,Red blood cell count,RBC,verify,,833,RBC,,chartevents,176496,Hematology,,,,carevue,,,
Red blood cell count,Red blood cell count,RBC,verify,,51493,RBC,,labevents,84285,HEMATOLOGY,,URINE,1/1/5808,,,,
Red blood cell count,Red blood cell count,RBC,verify,,3799,Red Blood C(3.6-6.2),,chartevents,9647,Heme/Coag,,,,carevue,,,
Red blood cell count,Red blood cell count,RBC,verify,,4197,RBC(3.6-6.2),,chartevents,9404,Heme/Coag,,,,carevue,,,
Red blood cell count,Red blood cell count (ascites),RBC,verify,,51127,"RBC, ASCITES",,labevents,3280,HEMATOLOGY,,ASCITES,26457-2,,,,
Red blood cell count,Red blood cell count (CSF),RBC,verify,,51362,"RBC, CSF",,labevents,4700,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),26454-9,,,,
Red blood cell count,Red blood cell count (fragments),RBC,verify,,51278,RED BLOOD CELL FRAGMENTS,,labevents,3876,HEMATOLOGY,,BLOOD,,,,,
