NON-EXCLUSIVE RESEARCH USE LICENSE 
FOR MedML SOFTWARE

	The Software (as defined below) will only be licensed to You (as defined below) upon the condition that You accept all of the terms and conditions contained in this license agreement (“License”).  Please read this License carefully. By downloading and using the Software, You accept the terms and conditions of this License.    
The Software delivered under this License and any Derivative Works of the Software may be subject to U.S. export control laws and may be subject to export or import regulations in other countries.  You agree to comply strictly with all such applicable laws and regulations and acknowledge that You have the responsibility, at Your own expense, to obtain such licenses to export, re-export, or import as may be required.

10.	Miscellaneous.
10.1.	Governing Law.  This License shall be governed by the laws of the State of Illinois, U.S.A., without regard to any conflict of laws provisions.
10.2.	Severability.  If any provision(s) of this License are held to be invalid, illegal, or unenforceable by a court of competent jurisdiction, such invalidity or unenforceability shall not in any way affect the validity or enforceability of the remaining provisions.
10.3.	Assignment.  You may not assign or otherwise transfer any of Your rights or obligations under this License, without the prior written consent of ILLINOIS.
10.4.	Entire Agreement.  This License represents the parties’ entire agreement relating to the Software.  Except as otherwise provided herein, no modification of this License is binding unless in writing and signed by an authorized representative of each party.
10.5.	Waiver.  The failure of either party to enforce any provision of this License shall not constitute a waiver of that right or future enforcement of that or any other provision. The waiver of a breach or default of this License may be effected only in writing by the waiving party.

Approved for legal form, Office of University Counsel, DS 04/2022 
